shipment_id,date,origin_hub,destination_hub,carrier,delivery_days_actual,delivery_days_promised,distance_km,weight_kg,cost_usd,on_time_delivery,delay_reason,product_category,season,priority
SHP-00001,2024-04-13,Philadelphia,Chicago,MegaFreight,6,6,336,12.88,24.79,1,,industrial,spring,standard
SHP-00002,2024-06-25,New_York,Houston,QuickPost,9,6,862,53.96,59.51,0,capacity,industrial,summer,standard
SHP-00003,2024-04-18,New_York,Los_Angeles,MegaFreight,1,1,1045,8.1,83.62,1,,perishables,spring,overnight
SHP-00004,2024-05-05,New_York,Dallas,FastShip,1,2,1236,83.82,170.69,1,,furniture,spring,express
SHP-00005,2024-01-03,San_Antonio,Dallas,FastShip,4,5,523,4.17,12.54,1,,clothing,winter,standard
SHP-00006,2024-01-09,Houston,Chicago,QuickPost,1,2,518,13.57,26.03,1,,clothing,winter,express
SHP-00007,2024-01-20,Houston,New_York,FastShip,6,7,846,4.89,15.96,1,,industrial,winter,standard
SHP-00008,2024-03-15,San_Antonio,Houston,LocalEx,6,6,792,117.03,90.67,1,,furniture,spring,standard
SHP-00009,2024-06-20,New_York,Dallas,FastShip,2,2,1474,59.98,89.23,1,,industrial,summer,express
SHP-00010,2024-03-23,New_York,Phoenix,FastShip,2,3,888,9.57,37.27,1,,electronics,spring,standard
SHP-00011,2024-03-20,Los_Angeles,Dallas,MegaFreight,1,2,256,71.65,84.82,1,,furniture,spring,express
SHP-00012,2024-04-07,New_York,San_Antonio,FastShip,8,6,1443,12.95,47.91,0,capacity,perishables,spring,standard
SHP-00013,2024-03-27,New_York,Chicago,MegaFreight,5,4,702,10.75,26.94,0,other,electronics,spring,standard
SHP-00014,2024-06-06,Chicago,Dallas,FastShip,2,2,397,18.1,21.89,1,,electronics,summer,express
SHP-00015,2024-01-07,Phoenix,Los_Angeles,QuickPost,4,4,2034,12.14,45.39,1,,industrial,winter,standard
SHP-00016,2024-02-14,Los_Angeles,New_York,MegaFreight,5,2,1365,4.6,45.1,0,customs,clothing,winter,express
SHP-00017,2024-03-19,Phoenix,Dallas,LocalEx,1,1,4091,25.2,365.24,1,,industrial,spring,overnight
