user_id,date,variant,week,assignment_date,impressions,clicks,ctr,watch_time_min,content_type,platform,age_group,region,premium_user
MED-00001,2024-09-14,control,2,2024-09-12,12,3,0.25,24.89,article,mobile_app,25-34,APAC,0
MED-00002,2024-09-24,control,2,2024-09-23,13,1,0.0769,6.42,video,mobile_app,25-34,EU,0
MED-00003,2024-08-23,treatment,2,2024-08-19,12,1,0.0833,18.59,video,mobile_app,35-44,LATAM,0
MED-00004,2024-09-05,treatment,1,2024-09-01,10,0,0.0,1.03,article,mobile_app,35-44,NA,0
MED-00005,2024-09-28,treatment,1,2024-09-25,11,1,0.0909,21.59,article,mobile_app,45-54,EU,0
MED-00006,2024-09-22,treatment,2,2024-09-20,10,0,0.0,0.26,article,mobile_app,18-24,NA,0
MED-00007,2024-08-22,treatment,2,2024-08-20,16,0,0.0,2.72,video,mobile_app,45-54,APAC,0
MED-00008,2024-09-12,treatment,2,2024-09-09,12,1,0.0833,8.81,article,mobile_app,35-44,NA,0
MED-00009,2024-08-03,control,1,2024-08-01,10,0,0.0,4.58,article,mobile_app,45-54,EU,0
MED-00010,2024-08-24,treatment,2,2024-08-23,16,2,0.125,7.93,podcast,mobile_app,45-54,EU,0
MED-00011,2024-09-04,control,2,2024-09-03,8,1,0.125,6.55,video,web,25-34,EU,1
MED-00012,2024-09-01,treatment,2,2024-09-01,30,0,0.0,0.54,newsletter,web,25-34,NA,1
MED-00013,2024-08-18,control,2,2024-08-18,13,2,0.1538,13.5,article,web,18-24,APAC,1
MED-00014,2024-08-19,treatment,2,2024-08-18,12,1,0.0833,23.65,video,web,35-44,EU,0
MED-00015,2024-09-13,treatment,2,2024-09-12,6,0,0.0,6.71,article,smart_tv,25-34,NA,0
MED-00016,2024-09-22,treatment,1,2024-09-22,15,0,0.0,2.86,article,smart_tv,25-34,NA,0
MED-00017,2024-09-14,control,1,2024-09-12,10,0,0.0,3.85,article,web,25-34,NA,1
MED-00018,2024-09-21,treatment,2,2024-09-18,9,0,0.0,2.96,podcast,mobile_app,25-34,APAC,0
MED-00019,2024-09-23,treatment,2,2024-09-19,15,2,0.1333,10.44,article,smart_tv,35-44,EU,1
MED-00020,2024-08-09,control,1,2024-08-07,14,0,0.0,1.3,article,web,25-34,APAC,0
MED-00021,2024-08-05,control,1,2024-08-04,10,2,0.2,6.95,video,smart_tv,18-24,NA,0
MED-00022,2024-08-04,control,2,2024-08-02,10,0,0.0,6.1,newsletter,smart_tv,45-54,NA,0
MED-00023,2024-08-18,treatment,2,2024-08-17,12,1,0.0833,6.61,video,mobile_app,35-44,EU,1
MED-00024,2024-08-14,control,1,2024-08-14,14,0,0.0,7.88,video,mobile_app,55+,EU,0
MED-00025,2024-08-12,treatment,1,2024-08-09,5,0,0.0,7.33,video,web,25-34,NA,0
MED-00026,2024-08-06,treatment,1,2024-08-02,7,0,0.0,1.86,video,mobile_app,25-34,EU,0
MED-00027,2024-09-19,control,1,2024-09-15,19,0,0.0,2.96,video,mobile_app,18-24,NA,1
MED-00028,2024-09-01,control,2,2024-08-30,10,0,0.0,1.58,article,smart_tv,55+,APAC,0
MED-00029,2024-08-22,treatment,2,2024-08-18,8,0,0.0,20.68,video,mobile_app,25-34,NA,0
MED-00030,2024-08-19,control,2,2024-08-18,7,0,0.0,1.02,video,mobile_app,35-44,EU,0
MED-00031,2024-09-23,treatment,2,2024-09-20,15,0,0.0,14.32,video,smart_tv,25-34,APAC,0
MED-00032,2024-08-31,treatment,2,2024-08-30,10,0,0.0,3.34,video,smart_tv,25-34,APAC,0
MED-00033,2024-09-09,treatment,1,2024-09-05,7,0,0.0,2.64,article,web,25-34,EU,0
MED-00034,2024-08-06,treatment,1,2024-08-06,12,0,0.0,7.98,video,web,18-24,NA,0
MED-00035,2024-08-20,control,1,2024-08-17,11,0,0.0,2.07,video,smart_tv,18-24,APAC,0
MED-00036,2024-08-11,control,1,2024-08-09,11,1,0.0909,10.73,video,mobile_app,25-34,NA,1
MED-00037,2024-08-17,control,1,2024-08-17,13,1,0.0769,2.07,video,web,18-24,NA,1
MED-00038,2024-08-22,control,2,2024-08-18,9,0,0.0,2.54,podcast,mobile_app,25-34,NA,0
MED-00039,2024-08-06,control,1,2024-08-05,16,1,0.0625,19.03,video,web,35-44,APAC,0
MED-00040,2024-09-28,control,1,2024-09-26,7,0,0.0,8.21,podcast,smart_tv,25-34,EU,0
MED-00041,2024-09-21,control,1,2024-09-18,9,1,0.1111,4.73,video,smart_tv,35-44,EU,0
MED-00042,2024-09-03,treatment,2,2024-09-02,19,3,0.1579,4.09,article,web,35-44,EU,0
MED-00043,2024-08-31,control,2,2024-08-31,8,0,0.0,11.43,article,smart_tv,25-34,NA,0
MED-00044,2024-08-17,treatment,1,2024-08-15,13,1,0.0769,3.89,video,web,25-34,APAC,0
MED-00045,2024-09-11,control,2,2024-09-11,9,1,0.1111,11.91,article,smart_tv,45-54,EU,0
MED-00046,2024-08-02,control,1,2024-07-30,15,2,0.1333,8.87,video,web,35-44,APAC,1
MED-00047,2024-08-07,control,1,2024-08-04,10,1,0.1,9.07,article,web,18-24,APAC,0
MED-00048,2024-08-04,treatment,1,2024-08-03,13,4,0.3077,19.75,newsletter,web,35-44,APAC,1
MED-00049,2024-08-13,control,1,2024-08-13,9,0,0.0,13.64,newsletter,mobile_app,35-44,NA,0
MED-00050,2024-09-20,control,2,2024-09-16,11,0,0.0,5.18,article,mobile_app,25-34,NA,0
MED-00051,2024-09-05,treatment,1,2024-09-04,10,0,0.0,4.35,article,web,25-34,NA,0
MED-00052,2024-08-17,control,1,2024-08-13,11,1,0.0909,9.89,article,smart_tv,35-44,EU,0
MED-00053,2024-08-12,control,2,2024-08-12,11,2,0.1818,11.67,video,web,45-54,NA,1
MED-00054,2024-09-15,control,2,2024-09-14,14,0,0.0,4.61,video,mobile_app,25-34,EU,0
MED-00055,2024-08-19,control,2,2024-08-16,9,1,0.1111,14.39,video,web,45-54,APAC,0
MED-00056,2024-09-25,control,2,2024-09-24,13,1,0.0769,19.68,newsletter,web,35-44,NA,0
MED-00057,2024-08-02,control,1,2024-08-02,14,0,0.0,10.2,video,web,45-54,NA,0
MED-00058,2024-08-23,control,2,2024-08-20,12,0,0.0,7.59,newsletter,smart_tv,18-24,EU,1
MED-00059,2024-08-31,treatment,1,2024-08-27,14,1,0.0714,8.13,newsletter,mobile_app,35-44,NA,0
MED-00060,2024-09-08,treatment,2,2024-09-04,12,0,0.0,0.8,article,smart_tv,35-44,NA,0
MED-00061,2024-09-10,control,1,2024-09-07,11,0,0.0,2.81,podcast,smart_tv,25-34,EU,0
MED-00062,2024-08-25,treatment,1,2024-08-23,23,3,0.1304,8.35,podcast,web,35-44,EU,1
MED-00063,2024-08-15,treatment,1,2024-08-12,12,0,0.0,18.83,newsletter,smart_tv,55+,NA,0
MED-00064,2024-08-21,control,2,2024-08-21,14,1,0.0714,26.31,podcast,mobile_app,25-34,LATAM,0
MED-00065,2024-08-24,treatment,1,2024-08-21,14,0,0.0,13.6,article,mobile_app,35-44,APAC,0
MED-00066,2024-09-09,control,2,2024-09-07,8,0,0.0,0.85,podcast,mobile_app,25-34,NA,0
MED-00067,2024-08-04,control,1,2024-08-01,11,0,0.0,2.35,podcast,mobile_app,25-34,EU,0
MED-00068,2024-09-24,treatment,1,2024-09-24,21,1,0.0476,6.8,video,mobile_app,45-54,NA,0
MED-00069,2024-09-03,treatment,1,2024-09-01,14,2,0.1429,10.47,video,mobile_app,25-34,EU,1
MED-00070,2024-08-13,treatment,2,2024-08-09,15,2,0.1333,4.88,video,web,18-24,NA,0
MED-00071,2024-08-23,control,1,2024-08-22,16,0,0.0,8.14,video,mobile_app,18-24,APAC,0
MED-00072,2024-08-11,control,1,2024-08-10,21,0,0.0,5.53,podcast,smart_tv,35-44,EU,1
MED-00073,2024-08-28,treatment,2,2024-08-28,9,1,0.1111,2.56,article,mobile_app,25-34,APAC,0
MED-00074,2024-08-21,treatment,1,2024-08-19,8,0,0.0,4.01,video,mobile_app,35-44,APAC,0
MED-00075,2024-08-26,treatment,2,2024-08-23,12,0,0.0,24.52,article,web,25-34,NA,1
MED-00076,2024-08-08,control,1,2024-08-04,13,1,0.0769,12.43,video,mobile_app,18-24,NA,0
MED-00077,2024-09-01,control,1,2024-08-31,4,0,0.0,2.42,video,mobile_app,18-24,EU,0
MED-00078,2024-09-26,treatment,1,2024-09-23,16,1,0.0625,6.09,newsletter,web,25-34,EU,1
MED-00079,2024-08-11,treatment,1,2024-08-10,16,0,0.0,5.24,podcast,mobile_app,25-34,EU,0
MED-00080,2024-08-14,treatment,2,2024-08-12,13,0,0.0,1.63,article,mobile_app,25-34,NA,1
MED-00081,2024-09-15,treatment,2,2024-09-13,8,1,0.125,8.91,video,web,55+,NA,0
MED-00082,2024-09-24,treatment,2,2024-09-22,15,1,0.0667,14.21,video,smart_tv,25-34,NA,1
MED-00083,2024-08-09,treatment,2,2024-08-08,12,1,0.0833,5.29,podcast,mobile_app,45-54,NA,1
MED-00084,2024-09-29,treatment,1,2024-09-25,22,0,0.0,3.54,podcast,web,25-34,NA,1
MED-00085,2024-09-29,control,1,2024-09-27,10,0,0.0,3.92,newsletter,mobile_app,55+,LATAM,0
MED-00086,2024-08-10,treatment,1,2024-08-06,14,1,0.0714,8.14,article,web,25-34,APAC,1
MED-00087,2024-09-20,control,2,2024-09-17,12,0,0.0,6.74,newsletter,web,45-54,NA,1
MED-00088,2024-08-16,treatment,2,2024-08-15,11,1,0.0909,2.86,article,mobile_app,18-24,EU,1
MED-00089,2024-09-01,treatment,2,2024-08-31,11,2,0.1818,15.64,video,mobile_app,25-34,EU,0
MED-00090,2024-08-02,control,2,2024-07-31,17,0,0.0,11.98,article,mobile_app,25-34,EU,0
MED-00091,2024-09-12,treatment,2,2024-09-10,13,1,0.0769,0.97,podcast,smart_tv,25-34,NA,0
MED-00092,2024-08-07,treatment,2,2024-08-03,15,0,0.0,10.87,video,mobile_app,35-44,NA,1
MED-00093,2024-09-17,control,2,2024-09-14,9,2,0.2222,22.72,video,mobile_app,18-24,LATAM,0
MED-00094,2024-08-26,control,1,2024-08-25,6,0,0.0,0.94,article,smart_tv,25-34,NA,0
MED-00095,2024-08-24,treatment,2,2024-08-20,14,1,0.0714,3.46,video,mobile_app,35-44,APAC,0
MED-00096,2024-09-29,control,1,2024-09-29,9,0,0.0,6.26,video,smart_tv,55+,NA,0
MED-00097,2024-08-20,control,1,2024-08-18,4,0,0.0,3.37,video,web,35-44,NA,0
MED-00098,2024-09-28,treatment,1,2024-09-28,17,1,0.0588,14.01,video,smart_tv,45-54,NA,1
MED-00099,2024-09-03,control,2,2024-09-02,13,0,0.0,12.72,video,smart_tv,35-44,NA,0
MED-00100,2024-08-07,treatment,2,2024-08-05,13,1,0.0769,0.97,newsletter,mobile_app,18-24,NA,0
MED-00101,2024-09-12,control,2,2024-09-08,15,1,0.0667,7.9,video,mobile_app,35-44,EU,0
MED-00102,2024-08-11,control,1,2024-08-09,9,1,0.1111,11.27,video,mobile_app,18-24,EU,0
MED-00103,2024-09-15,control,2,2024-09-13,15,0,0.0,7.47,video,smart_tv,55+,EU,1
MED-00104,2024-09-03,treatment,1,2024-09-02,17,2,0.1176,1.02,article,smart_tv,25-34,EU,0
MED-00105,2024-09-21,control,2,2024-09-17,10,1,0.1,11.53,article,web,45-54,APAC,0
MED-00106,2024-08-28,treatment,2,2024-08-28,18,0,0.0,3.86,article,web,35-44,NA,1
MED-00107,2024-09-21,treatment,2,2024-09-21,14,0,0.0,6.3,article,smart_tv,25-34,NA,1
MED-00108,2024-09-06,control,2,2024-09-02,12,1,0.0833,3.01,article,web,55+,NA,0
MED-00109,2024-09-03,treatment,2,2024-09-03,5,0,0.0,14.41,video,mobile_app,45-54,EU,0
MED-00110,2024-08-06,control,2,2024-08-04,18,1,0.0556,1.67,video,web,25-34,NA,0
MED-00111,2024-08-10,treatment,2,2024-08-08,10,0,0.0,0.38,newsletter,web,18-24,NA,0
MED-00112,2024-08-16,treatment,2,2024-08-14,11,1,0.0909,0.73,video,smart_tv,55+,NA,0
MED-00113,2024-08-16,control,1,2024-08-14,11,0,0.0,2.73,newsletter,mobile_app,35-44,NA,0
MED-00114,2024-08-29,control,2,2024-08-25,14,2,0.1429,5.23,video,mobile_app,25-34,APAC,0
MED-00115,2024-08-30,treatment,2,2024-08-27,10,1,0.1,13.03,podcast,smart_tv,25-34,APAC,0
MED-00116,2024-09-10,control,2,2024-09-08,14,0,0.0,4.51,newsletter,web,25-34,APAC,0
MED-00117,2024-09-21,control,2,2024-09-20,8,1,0.125,11.34,article,web,25-34,NA,0
MED-00118,2024-08-11,control,2,2024-08-08,17,0,0.0,13.64,podcast,mobile_app,35-44,NA,0
MED-00119,2024-08-21,control,1,2024-08-18,12,1,0.0833,6.65,article,web,25-34,LATAM,1
MED-00120,2024-09-27,treatment,2,2024-09-26,8,1,0.125,3.55,video,mobile_app,18-24,NA,0
