customer_id,month,plan,mrr_usd,churned,sessions_per_week,features_used_count,support_tickets,nps_score,company_size,industry,tenure_months,seat_count
CUS-00001,2024-01,enterprise,1327.7,0,11,9,1,40,11-50,SaaS,5,35
CUS-00001,2024-02,enterprise,1334.34,0,13,10,1,59,11-50,SaaS,6,35
CUS-00001,2024-03,enterprise,1340.98,0,11,9,3,45,11-50,SaaS,7,35
CUS-00001,2024-04,enterprise,1347.62,0,21,23,2,43,11-50,SaaS,8,35
CUS-00001,2024-05,enterprise,1354.26,0,18,16,2,56,11-50,SaaS,9,35
CUS-00001,2024-06,enterprise,1360.9,0,5,8,4,56,11-50,SaaS,10,35
CUS-00001,2024-07,enterprise,1367.53,0,20,24,0,49,11-50,SaaS,11,35
CUS-00001,2024-08,enterprise,1374.17,0,16,19,1,48,11-50,SaaS,12,35
CUS-00001,2024-09,enterprise,1380.81,0,14,17,1,44,11-50,SaaS,13,35
CUS-00001,2024-10,enterprise,1387.45,0,19,21,1,52,11-50,SaaS,14,35
CUS-00001,2024-11,enterprise,1394.09,0,12,11,1,62,11-50,SaaS,15,35
CUS-00001,2024-12,enterprise,1400.73,0,17,20,0,55,11-50,SaaS,16,35
CUS-00002,2024-01,starter,77.01,0,1,3,2,20,11-50,other,9,2
CUS-00002,2024-02,starter,77.4,0,4,9,2,18,11-50,other,10,2
CUS-00002,2024-03,starter,77.78,1,1,3,4,18,11-50,other,11,2
CUS-00002,2024-04,starter,78.17,0,5,9,0,17,11-50,other,12,2
CUS-00002,2024-05,starter,78.55,0,1,7,1,30,11-50,other,13,2
CUS-00002,2024-06,starter,78.94,0,2,0,0,23,11-50,other,14,2
CUS-00002,2024-07,starter,79.32,0,2,4,0,20,11-50,other,15,2
CUS-00002,2024-08,starter,79.71,0,4,1,0,24,11-50,other,16,2
CUS-00002,2024-09,starter,80.09,0,1,1,1,20,11-50,other,17,2
CUS-00002,2024-10,starter,80.48,0,1,0,0,19,11-50,other,18,2
CUS-00002,2024-11,starter,80.86,0,4,5,0,23,11-50,other,19,2
CUS-00002,2024-12,starter,81.25,0,2,3,2,17,11-50,other,20,2
CUS-00003,2024-01,pro,352.2,0,11,7,0,41,11-50,other,32,6
CUS-00003,2024-02,pro,353.96,0,7,10,1,50,11-50,other,33,6
CUS-00003,2024-03,pro,355.72,0,10,9,1,38,11-50,other,34,6
CUS-00003,2024-04,pro,357.48,0,5,8,0,40,11-50,other,35,6
CUS-00003,2024-05,pro,359.24,0,7,10,1,36,11-50,other,36,6
CUS-00003,2024-06,pro,361.0,0,11,14,1,41,11-50,other,37,6
CUS-00003,2024-07,pro,362.77,0,4,7,1,28,11-50,other,38,6
CUS-00003,2024-08,pro,364.53,1,2,5,2,35,11-50,other,39,6
CUS-00003,2024-09,pro,366.29,0,5,6,2,48,11-50,other,40,6
CUS-00003,2024-10,pro,368.05,0,4,8,2,45,11-50,other,41,6
CUS-00003,2024-11,pro,369.81,0,5,6,2,43,11-50,other,42,6
CUS-00003,2024-12,pro,371.57,0,12,17,2,43,11-50,other,43,6
CUS-00004,2024-01,enterprise,1399.58,0,14,16,2,45,51-200,fintech,31,41
CUS-00004,2024-02,enterprise,1406.58,0,14,11,0,45,51-200,fintech,32,41
CUS-00004,2024-03,enterprise,1413.58,0,19,25,3,49,51-200,fintech,33,41
CUS-00004,2024-04,enterprise,1420.57,0,19,24,3,43,51-200,fintech,34,41
CUS-00004,2024-05,enterprise,1427.57,0,14,14,0,45,51-200,fintech,35,41
CUS-00004,2024-06,enterprise,1434.57,0,12,16,2,50,51-200,fintech,36,41
CUS-00004,2024-07,enterprise,1441.57,0,14,17,4,43,51-200,fintech,37,41
CUS-00004,2024-08,enterprise,1448.56,0,14,10,0,44,51-200,fintech,38,41
CUS-00004,2024-09,enterprise,1455.56,0,12,20,2,52,51-200,fintech,39,41
CUS-00004,2024-10,enterprise,1462.56,0,18,25,0,47,51-200,fintech,40,41
CUS-00004,2024-11,enterprise,1469.56,0,15,12,1,50,51-200,fintech,41,41
CUS-00004,2024-12,enterprise,1476.56,0,9,12,0,51,51-200,fintech,42,41
CUS-00005,2024-01,starter,34.3,0,2,5,0,18,1-10,other,12,2
CUS-00005,2024-02,starter,34.47,0,0,2,1,22,1-10,other,13,2
CUS-00005,2024-03,starter,34.64,0,5,8,0,29,1-10,other,14,2
CUS-00005,2024-04,starter,34.81,0,1,3,1,30,1-10,other,15,2
CUS-00005,2024-05,starter,34.98,0,5,8,2,21,1-10,other,16,2
CUS-00005,2024-06,starter,35.16,0,1,1,1,30,1-10,other,17,2
CUS-00005,2024-07,starter,35.33,0,2,5,1,21,1-10,other,18,2
CUS-00005,2024-08,starter,35.5,0,3,5,1,21,1-10,other,19,2
CUS-00005,2024-09,starter,35.67,1,1,2,1,26,1-10,other,20,2
CUS-00005,2024-10,starter,35.84,0,4,4,1,25,1-10,other,21,2
CUS-00005,2024-11,starter,36.01,0,6,9,0,27,1-10,other,22,2
CUS-00005,2024-12,starter,36.19,0,3,6,0,24,1-10,other,23,2
CUS-00006,2024-01,starter,51.41,0,6,8,2,41,11-50,SaaS,52,1
CUS-00006,2024-02,starter,51.67,0,2,1,0,37,11-50,SaaS,53,1
CUS-00006,2024-03,starter,51.92,0,5,9,1,26,11-50,SaaS,54,1
CUS-00006,2024-04,starter,52.18,0,2,2,1,40,11-50,SaaS,55,1
CUS-00006,2024-05,starter,52.44,0,2,5,0,28,11-50,SaaS,56,1
CUS-00006,2024-06,starter,52.69,1,1,4,4,37,11-50,SaaS,57,1
CUS-00006,2024-07,starter,52.95,0,3,3,0,33,11-50,SaaS,58,1
CUS-00006,2024-08,starter,53.21,0,4,5,0,33,11-50,SaaS,59,1
CUS-00006,2024-09,starter,53.46,0,2,3,1,36,11-50,SaaS,60,1
CUS-00006,2024-10,starter,53.72,0,1,3,0,23,11-50,SaaS,61,1
CUS-00006,2024-11,starter,53.98,0,6,8,0,26,11-50,SaaS,62,1
CUS-00006,2024-12,starter,54.24,0,4,9,1,38,11-50,SaaS,63,1
CUS-00007,2024-01,starter,51.68,0,1,2,0,28,51-200,other,20,1
CUS-00007,2024-02,starter,51.93,0,2,7,1,27,51-200,other,21,1
CUS-00007,2024-03,starter,52.19,1,2,4,2,32,51-200,other,22,1
CUS-00007,2024-04,starter,52.45,0,8,19,0,39,51-200,other,23,1
CUS-00007,2024-05,starter,52.71,0,3,2,0,27,51-200,other,24,1
CUS-00007,2024-06,starter,52.97,0,7,7,0,33,51-200,other,25,1
CUS-00007,2024-07,starter,53.23,0,2,7,3,29,51-200,other,26,1
CUS-00007,2024-08,starter,53.48,0,5,3,0,35,51-200,other,27,1
CUS-00007,2024-09,starter,53.74,0,0,2,1,28,51-200,other,28,1
CUS-00007,2024-10,starter,54.0,0,4,4,1,28,51-200,other,29,1
CUS-00007,2024-11,starter,54.26,0,1,2,2,28,51-200,other,30,1
CUS-00007,2024-12,starter,54.52,0,5,12,2,27,51-200,other,31,1
CUS-00008,2024-01,pro,102.99,0,8,13,2,26,1-10,SaaS,15,6
CUS-00008,2024-02,pro,103.51,0,8,9,0,23,1-10,SaaS,16,6
CUS-00008,2024-03,pro,104.02,0,11,8,2,20,1-10,SaaS,17,6
CUS-00008,2024-04,pro,104.54,0,9,10,2,22,1-10,SaaS,18,6
CUS-00008,2024-05,pro,105.05,0,5,7,0,29,1-10,SaaS,19,6
CUS-00008,2024-06,pro,105.57,0,10,19,2,19,1-10,SaaS,20,6
CUS-00008,2024-07,pro,106.08,0,4,6,1,23,1-10,SaaS,21,6
CUS-00008,2024-08,pro,106.6,0,17,20,0,22,1-10,SaaS,22,6
CUS-00008,2024-09,pro,107.11,0,6,9,1,29,1-10,SaaS,23,6
CUS-00008,2024-10,pro,107.63,0,6,11,0,23,1-10,SaaS,24,6
CUS-00008,2024-11,pro,108.14,0,5,12,1,21,1-10,SaaS,25,6
CUS-00008,2024-12,pro,108.66,0,5,5,1,33,1-10,SaaS,26,6
CUS-00009,2024-01,enterprise,574.27,0,12,16,0,35,200+,SaaS,2,103
CUS-00009,2024-02,enterprise,577.15,0,12,12,1,52,200+,SaaS,3,103
CUS-00009,2024-03,enterprise,580.02,0,13,10,1,51,200+,SaaS,4,103
CUS-00009,2024-04,enterprise,582.89,0,15,14,0,44,200+,SaaS,5,103
CUS-00009,2024-05,enterprise,585.76,0,13,18,1,44,200+,SaaS,6,103
CUS-00009,2024-06,enterprise,588.63,0,15,14,0,52,200+,SaaS,7,103
CUS-00009,2024-07,enterprise,591.5,0,9,13,0,52,200+,SaaS,8,103
CUS-00009,2024-08,enterprise,594.37,0,15,26,0,39,200+,SaaS,9,103
CUS-00009,2024-09,enterprise,597.25,0,11,14,1,50,200+,SaaS,10,103
CUS-00009,2024-10,enterprise,600.12,0,17,18,0,47,200+,SaaS,11,103
CUS-00009,2024-11,enterprise,602.99,0,15,13,3,43,200+,SaaS,12,103
CUS-00009,2024-12,enterprise,605.86,0,16,19,0,41,200+,SaaS,13,103
CUS-00010,2024-01,enterprise,2280.19,0,14,17,0,51,200+,ecommerce,101,45
CUS-00010,2024-02,enterprise,2291.59,0,12,11,2,62,200+,ecommerce,102,45
CUS-00010,2024-03,enterprise,2302.99,0,12,15,0,52,200+,ecommerce,103,45
CUS-00010,2024-04,enterprise,2314.39,0,17,20,0,64,200+,ecommerce,104,45
CUS-00010,2024-05,enterprise,2325.8,0,10,9,2,51,200+,ecommerce,105,45
CUS-00010,2024-06,enterprise,2337.2,0,14,14,0,54,200+,ecommerce,106,45
CUS-00010,2024-07,enterprise,2348.6,0,16,19,0,51,200+,ecommerce,107,45
CUS-00010,2024-08,enterprise,2360.0,0,10,15,1,58,200+,ecommerce,108,45
CUS-00010,2024-09,enterprise,2371.4,0,10,15,0,52,200+,ecommerce,109,45
CUS-00010,2024-10,enterprise,2382.8,0,12,18,1,55,200+,ecommerce,110,45
CUS-00010,2024-11,enterprise,2394.2,0,14,15,1,56,200+,ecommerce,111,45
CUS-00010,2024-12,enterprise,2405.6,0,17,26,1,50,200+,ecommerce,112,45
CUS-00011,2024-01,starter,30.87,0,1,0,0,9,11-50,other,5,3
CUS-00011,2024-02,starter,31.02,0,1,5,3,7,11-50,other,6,3
CUS-00011,2024-03,starter,31.17,0,2,8,1,7,11-50,other,7,3
CUS-00011,2024-04,starter,31.33,0,4,4,1,18,11-50,other,8,3
CUS-00011,2024-05,starter,31.48,0,3,8,0,7,11-50,other,9,3
CUS-00011,2024-06,starter,31.64,0,1,3,0,19,11-50,other,10,3
CUS-00011,2024-07,starter,31.79,0,3,7,1,11,11-50,other,11,3
CUS-00011,2024-08,starter,31.95,0,1,7,0,12,11-50,other,12,3
CUS-00011,2024-09,starter,32.1,0,4,6,0,12,11-50,other,13,3
CUS-00011,2024-10,starter,32.25,0,2,4,1,15,11-50,other,14,3
CUS-00011,2024-11,starter,32.41,1,2,5,3,4,11-50,other,15,3
CUS-00011,2024-12,starter,32.56,0,5,2,0,14,11-50,other,16,3
CUS-00012,2024-01,starter,49.61,0,6,11,0,43,11-50,fintech,24,1
CUS-00012,2024-02,starter,49.86,0,4,4,0,30,11-50,fintech,25,1
CUS-00012,2024-03,starter,50.1,0,2,3,1,45,11-50,fintech,26,1
CUS-00012,2024-04,starter,50.35,0,2,7,0,47,11-50,fintech,27,1
CUS-00012,2024-05,starter,50.6,0,3,4,1,42,11-50,fintech,28,1
CUS-00012,2024-06,starter,50.85,0,1,3,0,41,11-50,fintech,29,1
CUS-00012,2024-07,starter,51.1,1,1,3,2,42,11-50,fintech,30,1
CUS-00012,2024-08,starter,51.34,0,4,7,2,38,11-50,fintech,31,1
CUS-00012,2024-09,starter,51.59,0,5,7,1,51,11-50,fintech,32,1
CUS-00012,2024-10,starter,51.84,0,2,5,1,50,11-50,fintech,33,1
CUS-00012,2024-11,starter,52.09,0,8,12,1,38,11-50,fintech,34,1
CUS-00012,2024-12,starter,52.34,0,3,6,1,49,11-50,fintech,35,1
CUS-00013,2024-01,enterprise,2362.59,0,15,18,0,55,1-10,other,13,132
CUS-00013,2024-02,enterprise,2374.4,0,17,20,0,53,1-10,other,14,132
CUS-00013,2024-03,enterprise,2386.21,0,21,21,1,46,1-10,other,15,132
CUS-00013,2024-04,enterprise,2398.03,0,20,14,2,56,1-10,other,16,132
CUS-00013,2024-05,enterprise,2409.84,0,16,19,0,49,1-10,other,17,132
CUS-00013,2024-06,enterprise,2421.65,0,20,22,1,52,1-10,other,18,132
CUS-00013,2024-07,enterprise,2433.47,0,14,20,0,53,1-10,other,19,132
CUS-00013,2024-08,enterprise,2445.28,0,18,16,2,44,1-10,other,20,132
CUS-00013,2024-09,enterprise,2457.09,0,17,26,0,44,1-10,other,21,132
CUS-00013,2024-10,enterprise,2468.9,0,9,14,1,49,1-10,other,22,132
CUS-00013,2024-11,enterprise,2480.72,0,21,27,1,55,1-10,other,23,132
CUS-00013,2024-12,enterprise,2492.53,0,13,11,0,45,1-10,other,24,132
CUS-00014,2024-01,starter,43.24,0,4,4,0,40,51-200,healthcare,1,2
CUS-00014,2024-02,starter,43.46,0,3,6,0,29,51-200,healthcare,2,2
CUS-00014,2024-03,starter,43.68,0,6,11,0,33,51-200,healthcare,3,2
CUS-00014,2024-04,starter,43.89,0,4,5,1,38,51-200,healthcare,4,2
CUS-00014,2024-05,starter,44.11,0,3,3,0,30,51-200,healthcare,5,2
CUS-00014,2024-06,starter,44.32,0,0,3,0,31,51-200,healthcare,6,2
CUS-00014,2024-07,starter,44.54,1,1,3,3,35,51-200,healthcare,7,2
CUS-00014,2024-08,starter,44.76,0,4,8,0,23,51-200,healthcare,8,2
CUS-00014,2024-09,starter,44.97,0,4,2,0,31,51-200,healthcare,9,2
CUS-00014,2024-10,starter,45.19,0,2,4,0,39,51-200,healthcare,10,2
CUS-00014,2024-11,starter,45.41,0,1,1,0,30,51-200,healthcare,11,2
CUS-00014,2024-12,starter,45.62,0,3,4,0,25,51-200,healthcare,12,2
CUS-00015,2024-01,enterprise,1802.25,0,12,11,1,46,51-200,fintech,11,167
CUS-00015,2024-02,enterprise,1811.27,0,18,22,0,42,51-200,fintech,12,167
CUS-00015,2024-03,enterprise,1820.28,0,7,10,1,46,51-200,fintech,13,167
CUS-00015,2024-04,enterprise,1829.29,0,11,11,2,34,51-200,fintech,14,167
CUS-00015,2024-05,enterprise,1838.3,0,13,15,0,43,51-200,fintech,15,167
CUS-00015,2024-06,enterprise,1847.31,0,18,26,1,43,51-200,fintech,16,167
CUS-00015,2024-07,enterprise,1856.32,0,16,8,0,47,51-200,fintech,17,167
CUS-00015,2024-08,enterprise,1865.33,0,10,11,0,48,51-200,fintech,18,167
CUS-00015,2024-09,enterprise,1874.34,0,19,23,0,41,51-200,fintech,19,167
CUS-00015,2024-10,enterprise,1883.36,0,7,8,2,36,51-200,fintech,20,167
CUS-00015,2024-11,enterprise,1892.37,0,14,10,1,45,51-200,fintech,21,167
CUS-00015,2024-12,enterprise,1901.38,0,13,17,1,42,51-200,fintech,22,167
CUS-00016,2024-01,starter,46.68,0,4,2,1,31,200+,other,25,2
CUS-00016,2024-02,starter,46.91,0,4,6,2,27,200+,other,26,2
CUS-00016,2024-03,starter,47.15,0,1,0,2,27,200+,other,27,2
CUS-00016,2024-04,starter,47.38,0,5,1,1,30,200+,other,28,2
CUS-00016,2024-05,starter,47.61,0,3,6,0,19,200+,other,29,2
CUS-00016,2024-06,starter,47.85,0,4,1,1,28,200+,other,30,2
CUS-00016,2024-07,starter,48.08,0,2,7,0,30,200+,other,31,2
CUS-00016,2024-08,starter,48.31,0,4,10,1,22,200+,other,32,2
CUS-00016,2024-09,starter,48.55,0,7,7,3,20,200+,other,33,2
CUS-00016,2024-10,starter,48.78,1,4,6,3,24,200+,other,34,2
CUS-00016,2024-11,starter,49.01,0,3,6,0,27,200+,other,35,2
CUS-00016,2024-12,starter,49.25,0,4,4,2,31,200+,other,36,2
CUS-00017,2024-01,pro,138.55,0,7,13,1,35,1-10,other,1,13
CUS-00017,2024-02,pro,139.24,0,6,7,0,42,1-10,other,2,13
CUS-00017,2024-03,pro,139.94,0,5,5,1,34,1-10,other,3,13
CUS-00017,2024-04,pro,140.63,0,5,6,0,32,1-10,other,4,13
CUS-00017,2024-05,pro,141.32,0,9,9,0,34,1-10,other,5,13
CUS-00017,2024-06,pro,142.02,0,4,4,1,33,1-10,other,6,13
CUS-00017,2024-07,pro,142.71,0,9,9,2,42,1-10,other,7,13
